takeoff_name,club,takeoff_lat,takeoff_lon,telegram_group_name
Meall A Bhuachaille,Highland,57.18303,-3.67267,Highland
Meall A Bhuiridh,SMPC,56.61175,-4.84418,SMPC
Meall A Chaorainn,SMPC,56.739475,-5.090165,SMPC
Meall An T-Seallaidh,SMPC,56.36672,-4.34837,SMPC
Meall Bhanbhaid,SMPC,56.863775000000004,-5.091255,SMPC
Meall Donn,Highland,57.25252,-4.36915,Highland
Meall Leacachain,Highland,57.75313,-4.9743,Highland
Meall Monachyle,SMPC,56.34988,-4.48517,SMPC
Meall Nan Bradan Leathan,Highland,57.70198,-4.51005,Highland
Melmerby Low Scar,Northumbria,54.73657,-2.57178,Northumbria
Mendips,Wessex,51.26302,-2.73075,Wessex
Menstrie,LLSC,56.15962,-3.84355,LLSC
Mercury,Sky Surfing,50.97413,-1.03855,Sky Surfing
Mere,Wessex,51.10858,-2.272205,Wessex
Merthyr,SW Wales,51.72333,-3.33597,SW Wales
Mhwh,Grupa 303,51.37272,-1.85657,Grupa 303
Mid Eildon,LLSC,55.58695,-2.70832,LLSC
Middle Of Nowhere,Highland,56.911,-4.318965,Highland
Middleark,Dales,54.39815,-2.3607,Dales
Milk Hill White Horse,Grupa 303,51.37282,-1.85684,Grupa 303
Milk Massif,Thames Valley,51.37321,-1.7441,Thames Valley
Millington,Cayley,53.95217,-0.72655,Cayley
Model Ridge,North Yorks,54.42238,-1.1927,North Yorks
Moel Accre,North Wales,53.0672,-3.24137,North Wales
Moel Berfedd,Snowdonia,53.08238,-4.0101,Snowdonia
Moel Eilio,Snowdonia,53.10893,-4.14007,Snowdonia
Moel Famau,North Wales,53.13865,-3.25977,North Wales
Molls Cleuch Dod,LLSC,55.445425,-3.35529,LLSC
Moneylaws,Northumbria,55.60686,-2.2055350000000002,Northumbria
Monksdown,Wessex,50.98638,-2.087075,Wessex
Moorfoots,LLSC,55.77353,-3.04622,LLSC
Morrone,Highland,56.98075,-3.42837,Highland
Moruisg,Highland,57.51735,-5.16415,Highland
Morven,Aberdeen,57.12432,-2.99882,Aberdeen
Mount Benger,LLSC,55.53187,-3.09345,LLSC
Mount Caburn,Southern,50.86133,0.050324999999999995,Southern
Much Marcle,Malvern,51.99117,-2.53972,Malvern
Murton Pike,Northumbria,54.60163,-2.41442,Northumbria
Mynydd Llysiau,SE Wales,51.9469,-3.158625,SE Wales
Mynydd Meio,SW Wales,51.586525,-3.280885,SW Wales
Myreton,LLSC,56.16015,-3.84343,LLSC
