takeoff_name,club,takeoff_lat,takeoff_lon,telegram_group_name
Creag Meageaidh,Highland,56.9712,-4.51507,Highland
Creag Mhigeachaidh,Highland,57.099135000000004,-3.865565,Highland
Creag Na Caillich,SMPC,56.494375000000005,-4.346695,SMPC
Creag Nan Gabhar,Aberdeen,56.93675,-3.40203,Aberdeen
Creag Ruadh,Highland,57.5474,-4.86833,Highland
Creagan Gorm,Highland,57.187535,-3.695015,Highland
Cringle,North Yorks,54.42112,-1.17202,North Yorks
Cross Fell,Northumbria,54.70137,-2.52788,Northumbria
Curbar,Derbyshire,53.2694,-1.61147,Derbyshire
Cwmafan,SW Wales,51.62673,-3.76633,SW Wales
Cwmbran,SE Wales,51.67538,-3.05492,SE Wales
Cyrniau,North Wales,52.81572,-3.40228,North Wales
Dale Head,Cumbria,54.52678,-3.20282,Cumbria
Dalefoot,Dales,54.43709,-2.33715,Dales
Dalwhinnie,Highland,56.8977,-4.20859,Highland
Deepdale,Dales,54.23792,-2.4133,Dales
Devils Dyke,Southern,50.88575,-0.21312,Southern
Devonshaw Hill,LLSC,55.541055,-3.649395,LLSC
Didling Hill,Sky Surfing,50.953315,-0.821375,Sky Surfing
Ditchling,Southern,50.901035,-0.103435,Southern
Dodd Fell,Dales,54.24897,-2.26377,Dales
Dollar,LLSC,56.17331,-3.68507,LLSC
Drumochter,Highland,56.8679,-4.21493,Highland
Dumyat,LLSC,56.1543,-3.88057,LLSC
Dungavel,LLSC,55.55825,-3.68532,LLSC
Dungiven,Ulster,54.934650000000005,-6.863905,Ulster
Dunstable,Dunstable,51.869975,-0.53799,Dunstable
East Hill,North Wales,53.081195,-2.603665,North Wales
East Lomond,LLSC,56.2422,-3.221405,LLSC
Ebbw Vale,SE Wales,51.7524,-3.20664,SE Wales
Ecton,Derbyshire,53.11943,-1.8514,Derbyshire
Edenfield,Pennine,53.65658,-2.27196,Pennine
Edge Top,Derbyshire,53.18847,-1.9191,Derbyshire
Elan Valley,Mid Wales,52.33142,-3.60265,Mid Wales
Elidir Fach,Snowdonia,53.13093,-4.09171,Snowdonia
Ellerside,Cumbria,54.21653,-2.99003,Cumbria
Ennerdale,Cumbria,54.52008,-3.3957,Cumbria
Eyam,Derbyshire,53.29617,-1.69618,Derbyshire
Eype,Condors,50.71583,-2.77895,Condors
Fairsnape,Pennine,53.91135,-2.617225,Pennine
Fan Brycheiniog,SW Wales,51.879909999999995,-3.70435,SW Wales
Fan Frynych,SW Wales,51.89755,-3.5105950000000004,SW Wales
Fan Gyhirych,SW Wales,51.85895,-3.6279500000000002,SW Wales
Farleton,Dales,54.21823,-2.70955,Dales
Fast Heugh,LLSC,55.54987,-2.95538,LLSC
Feshiebridge,Highland,57.09047,-3.84713,Highland
Ffarmers,SW Wales,52.1126,-3.97267,SW Wales
Fforest Farm,Joint Services,52.16525,-3.33028,Joint Services
Firle,Southern,50.83497,0.081015,Southern
Fochriw,SW Wales,51.73535,-3.3064150000000003,SW Wales
