device_type,device_id,aircraft_model,registration,cn,tracked,identified,aircraft_type
I,4AD5CE,Pegase,SE-UNN,T1,Y,Y,1
F,4AD5D6,Duo Discus t,SE-UNV,V,Y,Y,1
I,4AD5D9,Janus CM,SE-UNY,NY,Y,Y,1
F,4AD5E3,Ventus 2,SE-UOC,62,Y,Y,1
F,4AD5E5,LS-8a,SE-UOE,VC,Y,Y,1
I,4AD5E9,DG-400,SE-UOI,,Y,Y,1
F,4AD5EE,DG-808 C,SE-UON,VG,Y,Y,1
F,4AD5F0,HK36 Super Dimona,SE-UOP,,Y,Y,1
F,4AD5F8,Ventus 2cxT,SE-UOX,OX,Y,Y,1
I,4AD5FA,DG-500,SE-UOZ,OZ,Y,Y,1
I,4AD601,Discus,SE-UPA,,Y,Y,1
F,4AD608,HK36 Super Dimona,SE-UPH,,Y,Y,1
F,4AD612,SZD-48-3 Jantar Std 3,SE-UPR,PR,Y,Y,1
F,4AD61A,DG-1000,SE-UPZ,PZ,Y,Y,1
F,4AD644,ASW-28 18,SE-URD,RD,Y,Y,1
F,4AD653,Duo Discus xlt,SE-URS,RS,Y,Y,1
I,4AD66D,Motorglider,SE-USM,,Y,Y,1
F,4AD674,DG-800,SE-UST,11,Y,Y,1
F,4AD676,LS-3,SE-USV,VT,Y,Y,1
I,4AD679,Valentin Taifun,SE-USY,,Y,Y,1
F,4AD681,Discus 2t,SE-UTA,TA,Y,Y,1
I,4AD685,Ventus 2,SE-UTE,TE,Y,Y,1
F,4AD688,ASH-26 E,SE-UTH,WH,Y,Y,1
F,4AD689,Mosquito,SE-UTI,TI,Y,Y,1
I,4AD68F,ASW-27,SE-UTO,TO,Y,Y,1
F,4AD698,Duo Discus t,SE-UTX,TX,Y,Y,1
F,4AD6A1,ASG-29E,SE-UUA,UA,Y,Y,1
I,4AD6AE,Nimbus 3,SE-UUN,UN,Y,Y,1
I,4AD6C8,ASH-26 E,SE-UVH,VH,Y,Y,1
I,4AD6CC,Duo Discus xlt,SE-UVL,AKF,Y,Y,1
F,4AD6CF,ASK-21,SE-UVO,VO,Y,Y,1
I,4AD6D8,,,,N,N,1
I,4AD706,Duo Discus xlt,SE-UXF,XF,Y,Y,1
F,4AD707,JS-3 18M,SEUXG,4W,Y,Y,1
F,4AD710,Arcus M,SE-UXP,XP,Y,Y,1
F,4AD718,ASH-25 EB,SE-UXX,XXL,Y,Y,1
I,4AD722,Arcus M,SE-UYB,,Y,Y,1
F,4AD727,Ventus 2cxM,SE-UYG,1G,Y,Y,1
I,4AD72B,Duo Discus xlt,SE-UYK,XLT,Y,Y,1
I,4AD730,HPH 304C,SE-UYP,LU,Y,Y,1
F,4AD739,DG-808 C,SE-UYY,2Y,Y,Y,1
F,4AD8FA,Ultralight,SE-VGZ,,Y,Y,3
I,4AD973,Eurostar EV97,SE-VKS,,Y,Y,3
I,4ADA49,AutoGyro MTOsport,SE-VRI,RI,Y,Y,3
O,4ADA69,Drone/UAV,PK-X007,P07,Y,Y,5
F,4ADA6C,Ultralight,SE-VSL,,Y,Y,3
F,4ADAA4,Zodiac CH601XL,SE-VUD,,Y,Y,3
I,4ADAB4,Ikarus C42 B,SE-VUT,,Y,Y,3
I,4ADAB9,WT9 Dynamic,SE-VUY,VUY,Y,Y,3
F,4ADABA,Towplane,SE-VUZ,WT9,Y,Y,2
F,4AE088,Jodel D112,SE-XDH,,Y,Y,2
F,4AE2C8,BX2 Cherry,SE-XVH,VH,Y,Y,2
O,4AFF00,Ground Station,4AGS00,,Y,Y,6
O,4AFF01,Ground Station,4AGS01,,Y,Y,6
O,4AFF02,Ground Station,4AGS02,,Y,Y,6
O,4AFF03,Ground Station,4AGS03,,Y,Y,6
O,4AFF04,Ground Station,4AGS04,,Y,Y,6
O,4AFF05,Ground Station,4AGS05,,Y,Y,6
O,4AFFF0,Gyrocopter,4A-TEST,,Y,Y,3
I,4B046C,Cessna 172,HB-CKA,CKA,Y,Y,2
F,4B057F,Cessna 152,HBCCD,CCD,Y,Y,2
I,4B0589,Cessna 152,HB-CCN,CCN,Y,Y,2
I,4B059A,Cessna 177,HB-CDE,CDE,Y,Y,2
I,4B05BE,Cessna 172,HB-CEO,CEO,Y,Y,2
F,4B05CA,Cessna 152,HB-CFA,,Y,Y,2
I,4B05D8,Cessna 172,HB-CFO,CFO,Y,Y,2
I,4B05E2,Cessna 172,HB-CFY,CFY,Y,Y,2
I,4B05E9,Cessna 172,HB-CGF,CGF,Y,Y,2
I,4B0615,Cessna 172,HB-CHX,CHX,Y,Y,2
I,4B0618,Cessna 172,HB-CIA,,Y,Y,2
O,4B0620,Tecnam  P2002 JF,PETRA42,P42,Y,Y,2
I,4B0626,Cessna 172,HB-CIO,CIO,Y,Y,2
I,4B062B,Cessna 172,HB-CIT,CIT,Y,Y,2
I,4B062F,Cessna 152,HB-CIX,CIX,Y,Y,2
I,4B0630,Cessna 152,HB-CIY,CIY,Y,Y,2
I,4B0648,Cessna 152,HB-CJW,CJW,Y,Y,2
I,4B064C,Cessna 172,HB-CKA,CKA,Y,Y,2
I,4B0652,Cessna 172,HB-CKG,CKG,Y,Y,2
I,4B0660,Cessna 172,HB-CKU,CKU,Y,Y,2
I,4B066D,Cessna 172,HB-CLH,CLH,Y,Y,2
F,4B0678,Cessna 172,HB-CLS,,Y,Y,2
I,4B06A4,Cessna 152,HB-CNK,CNK,Y,Y,2
I,4B06AC,Cessna 152,HB-CNS,CNS,Y,Y,2
I,4B06B2,Cessna 172,HB-CNY,CNY,Y,Y,2
I,4B06ED,Cessna 172,HB-CQF,CQF,Y,Y,2
I,4B06F3,Cessna 172,HB-CQL,CQL,Y,Y,2
F,4B06F4,Cessna 172,HB-CQM,CQM,Y,Y,2
I,4B06F9,Cessna 172,HB-CQR,,Y,Y,2
I,4B06FE,Cessna 182,HB-CQW,CQW,Y,Y,2
I,4B070B,Motorplane,HB-CRJ,CRJ,Y,Y,2
I,4B07AB,Cessna 150,HB-CXN,CXN,Y,Y,2
I,4B07B3,Cessna 152,HB-CXV,CXV,Y,Y,2
I,4B07BD,Cessna 152,HB-CYF,CYF,Y,Y,2
I,4B07BF,Cessna 172,HB-CYH,CYH,Y,Y,2
F,4B07C7,Cessna 152,HB-CYP,,Y,Y,2
I,4B07CF,Cessna 152,HB-CYX,CYX,Y,Y,2
I,4B07E0,Cessna 172,HB-CZO,CZO,Y,Y,2
I,4B07E6,Cessna 182,HB-CZU,CZU,Y,Y,2
I,4B0834,Towplane,HB-DCU,DCU,Y,Y,2
F,4B088A,,,,Y,N,2
I,4B0897,Towplane,HB-DGP,GP,Y,Y,2
I,4B089E,Mooney,HB-DGW,DGW,Y,Y,2
I,4B08B1,Mooney,HB-DHP,DHP,Y,Y,2
F,4B08B4,Mooney,PH-FAR,,Y,Y,2
I,4B08C0,Mooney,HB-DIE,DIE,Y,Y,2
I,4B08C3,Mooney,HB-DIH,DIH,Y,Y,2
I,4B0A14,Mooney,HB-DVG,DVG,Y,Y,2
I,4B0ADF,DR-300,HB-EDB,EDB,Y,Y,2
I,4B0B05,Motorplane,HB-EEN,EEN,Y,Y,2
I,4B0B58,Motorplane,HBEHS,,Y,Y,2
I,4B0BB1,JOB 15,HB-ELD,ELD,Y,Y,2
I,4B0BB6,Piper J-3 Cub,HB-ELI,ELI,Y,Y,2
I,4B0BD5,DR-300,HB-EMN,MN,Y,Y,2
F,4B0BD7,Towplane,HBEMP,MP,Y,Y,2
I,4B0BD8,DR-300,HB-EMQ,EMQ,Y,Y,2
I,4B0C28,Motorplane,HB-EPS,EPS,Y,Y,2
F,4B0C32,DR-400,HB-EQC,,Y,Y,2
F,4B0C36,DR-400,HB-EQG,FS,Y,Y,2
F,4B0C39,DR-400,HB-EQJ,,Y,Y,2
I,4B0C3D,DR-400,HB-EQN,EQN,Y,Y,2
I,4B0CA7,DR-400,HB-EUP,,Y,Y,2
F,4B0CAD,DR-400,HB-EUV,,Y,Y,2
I,4B0CF5,DR-400,HB-EXP,,Y,Y,2
I,4B0CF6,DR-400,HB-EXQ,,Y,Y,2
I,4B0CF9,DR-400,HB-EXT,EXT,Y,Y,2
I,4B0CFA,DR-400,HB-EXU,,Y,Y,2
I,4B0CFC,DR-400,HB-EXW,EXW,Y,Y,2
I,4B0D12,DR-400,HB-EYS,EYS,Y,Y,2
I,4B0D31,DR-400,HB-EZX,EZX,Y,Y,2
F,4B0D6D,,,,N,Y,2
I,4B0E3A,Pilatus PC-6,HB-FKC,FKC,Y,Y,2
F,4B0E3F,Pilatus PC-6,HBFKH,FKH,Y,Y,2
I,4B0E43,Pilatus PC-6,HB-FKL,FGS,Y,Y,2
F,4B0E44,Pilatus PC-6,HBFKM,FKM,Y,Y,2
F,4B0EA6,,,,N,Y,2
I,4B0F70,Pilatus PC-12,HB-FWA,FOC,Y,Y,2
O,4B1052,Ka-7,HA-5072,72,Y,Y,1
F,4B1305,AS202/32TP Turbo Bravo,HB-HFH,HFH,Y,Y,2
I,4B1307,AS202/32TP Turbo Bravo,HB-HFJ,,Y,Y,2
O,4B165B,Cirrus Std,OK-1550,IT,Y,Y,1
I,4B1A69,TB-20 Trinidad,HB-KAB,,Y,Y,2
I,4B1A7E,DR-400,HB-KAW,,Y,Y,2
F,4B1A8C,DR-400,HB-KBK,BK,Y,Y,2
I,4B1A91,DR-400,HB-KBP,BP,Y,Y,2
I,4B1A97,DR-400,HB-KBV,,Y,Y,2
I,4B1A99,DR-400,HB-KBX,,Y,Y,2
F,4B1AA0,Maule M-7-235,HB-KCE,CE,Y,Y,2
I,4B1AA4,Husky A-1,HB-KCI,KCI,Y,Y,2
I,4B1AA5,DR-400,HB-KCJ,,Y,Y,2
I,4B1AAE,DR-400,HB-KCS,,Y,Y,2
I,4B1AC2,Maule M-7,HB-KDM,,Y,Y,2
I,4B1AC4,DR-400,HB-KDO,KDO,Y,Y,2
I,4B1ACB,DR-400,HB-KDV,,Y,Y,2
I,4B1AD7,DR-300,HB-KEH,KEH,Y,Y,2
I,4B1ADB,Motorplane,HBKEL,,Y,Y,2
I,4B1AEC,Maule M-7,HB-KFC,KFC,Y,Y,2
I,4B1AF1,DR-400,HB-KFH,,Y,Y,2
F,4B1AF5,DR-400,HB-KFL,KFL,Y,Y,2
I,4B1AFD,DR-400,HB-KFT,,Y,Y,2
I,4B1B00,DR-400,HB-KFW,KFW,Y,Y,2
I,4B1B22,Motorplane,HB-KHE,KHE,Y,Y,2
I,4B1B37,DR-400,HB-KHZ,KHZ,Y,Y,2
F,4B1B46,Maule M-7-235,HB-KIO,,Y,Y,2
I,4B1B48,Towplane,HB-KIQ,KIQ,Y,Y,2
I,4B1B50,DR-400,HB-KIY,,Y,Y,2
F,4B1B88,DR-400,HB-KLC,KLC,Y,Y,2
I,4B1B8A,DR-400,HB-KLE,,Y,Y,2
F,4B1B8C,DR-400,HB-KLG,KLG,Y,Y,2
I,4B1B99,DR-400,HB-KLT,,Y,Y,2
I,4B1B9F,DR-400,HB-KLZ,KLZ,Y,Y,2
I,4B1BA4,Husky A-1,HB-KME,KME,Y,Y,2
I,4B1BA5,Tecnam  P2002 JF,HB-KMF,KMF,Y,Y,2
F,4B1BA6,Cessna 152,HB-KMG,,Y,Y,2
I,4B1BA7,Motorplane,HB-KMH,KMH,Y,Y,2
I,4B1BA8,Tecnam  P2002 JF,HB-KMi,KMI,Y,Y,2
I,4B1BA9,Tecnam  P2002 JF,HB-KMJ,KMJ,Y,Y,2
I,4B1BAA,Tecnam  P2002 JF,HB-KMK,KMK,Y,Y,2
I,4B1BAE,Cirrus SR22,HB-KMO,FOC,Y,Y,2
I,4B1BAF,Cirrus SR22,HB-KMP,FOC,Y,Y,2
I,4B1BB8,Husky A-1,HB-KMY,KMY,Y,Y,2
I,4B1BD9,DR-400,HB-KOF,KOF,Y,Y,2
I,4B1BE3,Motorplane,HB-KOP,,Y,Y,2
I,4B1BE8,Motorplane,HB-KOU,KOU,Y,Y,2
I,4B1BEA,DR-400,HB-KOW,,Y,Y,2
I,4B1BEB,Motorplane,HB-KOX,KOX,Y,Y,2
I,4B1BED,Tecnam  P2002 JF,HB-KOZ,KOZ,Y,Y,2
I,4B1BEE,Motorplane,HB-KPA,KPA,Y,Y,2
I,4B1BF2,Motorplane,HB-KPE,,Y,Y,2
I,4B1BF5,Tecnam  P2002 JF,HB-KPH,,Y,Y,2
I,4B1F21,Motorplane,HB-LUN,,Y,Y,2
I,4B1F9D,Diamond DA42,HB-LZH,FOC,Y,Y,2
I,4B21A1,Motorplane,HB-MTD,,Y,Y,2
F,4B2275,Motorplane,HB-NBH,,Y,Y,2
I,4B23DC,Motorplane,HB-NPC,PC,Y,Y,2
I,4B24FE,Piper J-3 Cub,HB-OAG,,Y,Y,2
I,4B2534,Piper J-3 Cub,HB-OCI,OCI,Y,Y,2
F,4B2590,Piper J-3 Cub,HB-OFW,OFW,Y,Y,2
I,4B25BB,PA-28,HB-OHN,OHN,Y,Y,2
F,4B262C,PA-18 Super Cub,HB-OLW,,Y,Y,2
F,4B264A,Piper J-3 Cub,HB-ONA,,Y,Y,2
F,4B2699,PA-18 Super Cub,HB-OQB,OQB,Y,Y,2
I,4B26A3,PA-18 Super Cub,HB-OQL,OQL,Y,Y,2
F,4B26B9,PA-18 Super Cub,HB-ORH,RH,Y,Y,2
F,4B26BD,PA-18 Super Cub,HB-ORL,ORL,Y,Y,2
I,4B26C5,PA-18 Super Cub,HB-ORT,ORT,Y,Y,2
I,4B26C8,PA-18 Super Cub,HB-ORW,RW,Y,Y,2
F,4B2704,Piper J-3 Cub,OE-CUE,CUE,Y,Y,2
I,4B271C,Motorplane,HB-OVC,OVC,Y,Y,2
I,4B275F,Piper J-3 Cub,HB-OXR,OXR,Y,Y,2
I,4B277F,PA-28,HB-OYX,,Y,Y,2
I,4B2797,PA-28,HB-OZV,OZV,Y,Y,2
I,4B27AF,PA-28,HB-PAT,PAT,Y,Y,2
I,4B27B3,PA-18 Super Cub,HB-PAX,,Y,Y,2
I,4B27BD,PA-28,HB-PBH,PBH,Y,Y,2
I,4B27CB,PA-28,HB-PBV,PBV,Y,Y,2
I,4B27F5,PA-18 Super Cub,HB-PDL,PDL,Y,Y,2
I,4B27FE,PA-28,HB-PDU,,Y,Y,2
I,4B2816,PA-28,HB-PES,,Y,Y,2
F,4B281C,PA-28,HBPEY,PEY,Y,Y,2
I,4B2834,PA-25 Pawnee,HB-PFW,PFW,Y,Y,2
I,4B2839,PA-28,HB-PGB,,Y,Y,2
I,4B2844,PA-28,HB-PGM,PGM,Y,Y,2
I,4B2845,PA-28,HB-PGN,PGN,Y,Y,2
I,4B2865,PA-28,HB-PHT,PHT,Y,Y,2
F,4B2867,PA-28,HBPHV,PHV,Y,Y,2
I,4B2872,PA-28,HB-PIG,PIG,Y,Y,2
I,4B2881,PA-28,HB-PIV,PIV,Y,Y,2
I,4B28A4,PA-28,HB-PKE,,Y,Y,2
I,4B28A6,PA-28,HB-PKG,,Y,Y,2
I,4B28A8,PA-18 Super Cub,HB-PKI,PKI,Y,Y,2
I,4B28B7,PA-28,HB-PKX,,Y,Y,2
I,4B28CA,PA-18 Super Cub,HB-PLQ,PLQ,Y,Y,2
I,4B28D6,PA-28,HB-PMC,PMC,Y,Y,2
I,4B28D9,PA-28,HB-PMF,PMF,Y,Y,2
I,4B28DA,PA-28,HB-PMG,PMG,Y,Y,2
I,4B28DB,PA-28,HB-PMH,,Y,Y,2
I,4B28DC,PA-28,HB-PMI,PMI,Y,Y,2
I,4B28EF,PA-28,HB-PNB,PNB,Y,Y,2
I,4B28FA,PA-28,HB-PNM,PNM,Y,Y,2
I,4B28FB,PA-28,HB-PNN,PNN,Y,Y,2
I,4B2901,PA-28,HB-PNT,PNT,Y,Y,2
I,4B2902,PA-18 Super Cub,HB-PNU,NU,Y,Y,2
I,4B290A,PA-28,HB-POC,POC,Y,Y,2
I,4B290C,PA-28,HB-POE,POE,Y,Y,2
I,4B290D,PA-28,HB-POF,POF,Y,Y,2
I,4B291C,PA-18 Super Cub,HB-POU,POU,Y,Y,2
I,4B291F,PA-28,HB-POX,POX,Y,Y,2
I,4B2927,PA-28,HB-PPF,PPF,Y,Y,2
I,4B2928,PA-28,HB-PPG,PPG,Y,Y,2
I,4B292C,PA-28,HB-PPK,PPK,Y,Y,2
I,4B292F,PA-28,HB-PPN,,Y,Y,2
I,4B2935,PA-28,HB-PPT,PPT,Y,Y,2
I,4B293F,PA-28,HB-PQD,PQD,Y,Y,2
I,4B2944,PA-28,HB-PQI,PQI,Y,Y,2
I,4B2947,PA-28,HB-PQL,PQL,Y,Y,2
F,4B294E,PA-28,HB-PQS,,Y,Y,2
I,4B2954,PA-28,HB-PQY,,Y,Y,2
I,4B2961,PA-28,HB-PRL,PRL,Y,Y,2
I,4B2971,PA-28,HB-PSB,PSB,Y,Y,2
I,4B2D0B,Pilatus P3,HB-RBN,RBN,Y,Y,2
I,4B2EBA,Motorplane,HB-RSC,SCO,Y,Y,2
I,4B2FC7,DA20 Katana,HB-SCL,SCL,Y,Y,2
I,4B2FC9,DA20 Katana,HB-SCN,SCN,Y,Y,2
I,4B2FCB,DA20 Katana,HB-SCP,SCP,Y,Y,2
I,4B2FCE,DA20 Katana,HB-SCS,SCS,Y,Y,2
I,4B2FD0,DA20 Katana,HB-SCU,SCU,Y,Y,2
I,4B2FD5,DA20 Katana,HB-SCZ,SCZ,Y,Y,2
I,4B2FD9,DA40,HBSDD,,Y,Y,2
I,4B2FDE,DA20 Katana,HB-SDI,,Y,Y,2
I,4B2FDF,DA20 Katana,HB-SDJ,SDJ,Y,Y,2
I,4B301C,Aquila A210,HB-SFS,SFS,Y,Y,2
I,4B301E,Aquila A210,HB-SFU,SFU,Y,Y,2
I,4B3021,Aquila A210,HB-SFX,SFX,Y,Y,2
I,4B3029,DA20 Katana,HB-SGF,SGF,Y,Y,2
I,4B302A,DA20 Katana,HB-SGG,SGG,Y,Y,2
I,4B302B,DA20 Katana,HB-SGH,SGH,Y,Y,2
I,4B302C,DA20 Katana,HB-SGI,SGI,Y,Y,2
I,4B302F,DV20 Katana,HBSGL,,Y,Y,2
I,4B3030,DA20 Katana,HB-SGM,SGM,Y,Y,2
I,4B3037,Aquila A210,HB-SGT,SGT,Y,Y,2
I,4B3038,Aquila A210,HB-SGU,SGU,Y,Y,2
I,4B303D,Aquila A210,HB-SGZ,SGZ,Y,Y,2
I,4B30FA,Jodel D112,HB-SOG,SOG,Y,Y,2
I,4B3142,Motorplane,HB-SRA,SRA,Y,Y,2
I,4B31FC,Pipistrel Virus,HB-SYE,,Y,Y,3
F,4B327A,Cessna 172,HB-TDA,,Y,Y,2
I,4B327B,Cessna 172,HB-TDB,TDB,Y,Y,2
F,4B327C,Cessna 172,HBTDC,,Y,Y,2
F,4B327D,Cessna 172,HB-TDD,,Y,Y,2
I,4B328B,Cessna 182,HB-TDR,,Y,Y,2
I,4B3294,Cessna 172,HB-TEA,,Y,Y,2
I,4B3295,Cessna 172,HB-TEB,,Y,Y,2
I,4B334A,Cessna 172,HB-TLA,TLA,Y,Y,2
I,4B33A7,Cessna 182,HB-TOP,TOP,Y,Y,2
I,4B3519,Other,HB-UCV,,Y,Y,1
I,4B36ED,Unknown,HB-UUV,,Y,Y,6
I,4B36F0,Motorplane,HB-UUY,UUY,Y,Y,2
I,4B36F1,Motorplane,HB-UUZ,,Y,Y,2
I,4B36F3,Motorplane,HB-UVB,UVB,Y,Y,2
F,4B3A22,DynAero MCR-01,HB-WAK,WAK,Y,Y,3
F,4B3A29,DynAero MCR-01,HBWAR,WAR,Y,Y,3
I,4B3A2B,DynAero MCR-4S,HB-WAT,WAT,Y,Y,2
I,4B3A2C,Motorplane,HB-WAU,WAU,Y,Y,2
F,4B3A32,DynAero MCR-01,HBWBA,WBA,Y,Y,3
I,4B3A82,Motorplane,HB-WEC,WEC,Y,Y,2
I,4B3AB4,Gyrocopter,HB-WGA,,Y,Y,3
I,4B3ABB,Gyrocopter,HB-WGH,,Y,Y,3
I,4B3ABC,Gyrocopter,HB-WGI,,Y,Y,3
I,4B3C8B,Remos GX,HB-WYD,WYD,Y,Y,3
I,4B3C8D,Remos GX,HB-WYF,WYF,Y,Y,3
I,4B3C8E,Remos GX,HB-WYG,WYG,Y,Y,3
I,4B3C99,Motorplane,HB-WYR,WYR,Y,Y,2
I,4B3C9B,Remos GX,HB-WYT,WYT,Y,Y,3
I,4B3CA0,Remos GX,HB-WYY,WYY,Y,Y,3
I,4B3CA9,Ultralight,HB-WZH,WZH,Y,Y,3
I,4B3CAF,WT9 Dynamic,HB-WZN,,Y,Y,3
I,4B3D11,Bell 206,HB-XDH,,Y,Y,4
F,4B3D94,Helicopter,HB-XII,AZE,Y,Y,4
I,4B3DB6,ENF 480,HB-XJQ,FEI,Y,Y,4
I,4B3DC0,Helicopter,HB-XKA,,Y,Y,4
I,4B3DC4,Helicopter,HB-XKE,,Y,Y,4
F,4B3E0E,Helicopter,HB-XNA,XNA,Y,Y,4
I,4B3E65,AS 350,HB-XQJ,AGL,Y,Y,4
I,4B3E66,Robinson R22,HB-XQK,HSI,Y,Y,4
I,4B3E67,Robinson R44,HB-XQL,,Y,Y,4
I,4B3E74,Bell 407,HB-XQY,CHS,Y,Y,4
I,4B3EDE,AS 350,HB-XVA,FOC,Y,Y,4
I,4B3EDF,AS 350,HB-XVB,AGL,Y,Y,4
I,4B3F2A,Bell 206,HB-XXY,CHS,Y,Y,4
I,4B3F3B,,,,N,N,4
I,4B3F50,Robinson R22,HB-XZK,AHB,Y,Y,4
F,4B3F65,Unknown,HB-YAF,,Y,Y,6
I,4B3F93,Vans RV-12,HB-YBZ,YBZ,Y,Y,2
I,4B3FE2,Helicopter,HB-YFA,,Y,Y,4
F,4B4012,,,,N,Y,2
I,4B4013,Experimental,HB-YGX,YGX,Y,Y,1
F,4B4014,Experimental,HB-YGY,,Y,Y,1
I,4B401F,DynAero MCR-01,HB-YHJ,,Y,Y,3
I,4B4034,Europa XS,HB-YIE,YIE,Y,Y,2
I,4B405B,Motorplane,HB-YJR,YJR,Y,Y,2
I,4B4067,Vans RV-6a,HB-YKD,,Y,Y,2
I,4B4073,Glastar,HB-YKP,,Y,Y,2
I,4B407B,Helicopter,HB-YKX,,Y,Y,4
I,4B4080,Extra 330,HB-YLC,LC,Y,Y,2
I,4B4083,Helicopter,HB-YLF,,Y,Y,4
I,4B4086,Motorplane,HB-YLI,YLI,Y,Y,2
I,4B4089,Vans RV-6a,HB-YLL,YLL,Y,Y,2
I,4B408D,Experimental,HB YLP,,Y,Y,1
F,4B409B,DynAero MCR-01,HBYMD,YMD,Y,Y,3
I,4B409D,,,,N,N,6
I,4B409F,Motorplane,HB-YMH,YMH,Y,Y,2
I,4B40A2,Helicopter,HB-YMK,,Y,Y,4
F,4B40AB,,,,Y,N,2
I,4B40B3,Helicopter,HB-YNB,,Y,Y,4
I,4B40B5,Glastar,HB-YND,,Y,Y,2
F,4B40E7,Motorplane,HB-YPB,,Y,Y,2
F,4B40F1,Vans RV-12,HBYPL,,Y,Y,2
F,4B4136,Vans RV-12,HB-YSC,,Y,Y,2
I,4B4137,Vans RV-12,HB-YSD,YSD,Y,Y,2
I,4B413B,Motorplane,HB-YSH,YSH,Y,Y,2
I,4B4146,ArrowCopter,HB-YSS,,Y,Y,3
F,4B41C1,Vans RV-9,HB-YXL,,Y,Y,2
I,4B41CD,ArrowCopter,HB-YXX,,Y,Y,3
I,4B41D0,Helicopter,HB-YYA,,Y,Y,4
I,4B4211,AS 350,HB-ZAN,RFU,Y,Y,4
I,4B4216,Robinson R66,HB-ZAS,HSI,Y,Y,4
I,4B421B,Robinson R66,HB-ZAX,,Y,Y,4
F,4B421D,EC 130,HB-ZAZ,AZE,Y,Y,4
I,4B421F,EC 120,HB-ZBB,ALP,Y,Y,4
I,4B4223,Helicopter,HB-ZBF,,Y,Y,4
I,4B422A,MD 500,HB-ZBM,RFU,Y,Y,4
I,4B422D,HU 269,HB-ZBP,,Y,Y,4
I,4B4238,EC 120,HB-ZCA,HLA,Y,Y,4
I,4B423D,AS 350,HB-ZCF,HLI,Y,Y,4
F,4B424F,AS 350,HB-ZCX,AZE,Y,Y,4
I,4B4251,AS 350,HB-ZCZ,AGL,Y,Y,4
I,4B4253,Robinson R22,HB-ZDB,ALP,Y,Y,4
I,4B4262,Cabri G2,HB-ZDQ,SWH,Y,Y,4
I,4B4264,EC 120,HB-ZDS,SWH,Y,Y,4
I,4B4268,Robinson R44,HB-ZDW,AHB,Y,Y,4
F,4B4271,EC 135,HB-ZEF,AZE,Y,Y,4
I,4B4274,AS 350,HB-ZEI,SWH,Y,Y,4
I,4B4278,Robinson R22,HB-ZEM,ALP,Y,Y,4
F,4B4279,EC 135,HB-ZEN,HUG,Y,Y,4
I,4B427B,EC 120,HB-ZEP,HLA,Y,Y,4
I,4B4286,Bell 206,HB-XXO,AHB,Y,Y,4
I,4B4292,EC 120,HB-ZFM,SWH,Y,Y,4
I,4B4296,Robinson R44,HB-ZFQ,,Y,Y,4
I,4B42AA,K1200,HB-ZGK,ZGK,Y,Y,4
I,4B42AB,Robinson R44,HB-ZGL,VAL,Y,Y,4
I,4B42AE,Robinson R22,HB-ZGO,MFL,Y,Y,4
I,4B42B0,EC 120,OE-XAM,,Y,Y,4
I,4B42B8,EC 120,HB-ZGY,RHE,Y,Y,4
I,4B42BA,AS 350,HB-ZHA,SWH,Y,Y,4
O,4B42BD,EC 120,HB-ZHD,ALP,Y,Y,4
I,4B42C4,Robinson R44,HB-ZHK,HZU,Y,Y,4
I,4B42C8,AS 350,HB-ZHO,ALP,Y,Y,4
I,4B42D2,AS 350,HB-ZHY,AGL,Y,Y,4
F,4B42D4,AS 350,HB-ZIA,AZE,Y,Y,4
I,4B42D5,AS 350,HB-ZIB,SWH,Y,Y,4
I,4B42D8,EC 120,HB-ZIE,SWH,Y,Y,4
I,4B42DB,K1200,HB-ZIH,ZIH,Y,Y,4
I,4B42DE,Robinson R22,HB-ZIK,,Y,Y,4
I,4B42DF,AS 350,HB-ZIL,HAS,Y,Y,4
I,4B42E5,EC 135,HB-ZIR,AGL,Y,Y,4
I,4B42EF,EC 120,HB-ZJB,LAS,Y,Y,4
I,4B42F1,EC 135,HB-ZJD,ZJD,Y,Y,4
I,4B42F2,EC 135,HB-ZJE,ZJE,Y,Y,4
I,4B42F4,Robinson R44,HB-ZJG,HSI,Y,Y,4
I,4B42F9,Robinson R44,HB-ZJL,VAL,Y,Y,4
I,4B42FD,AS 350,HB-ZJP,SWH,Y,Y,4
I,4B4300,Robinson R44,HB-ZJS,VAL,Y,Y,4
I,4B4304,Robinson R44,HB-ZJW,HAS,Y,Y,4
I,4B4308,HU 269,HB-ZKA,,Y,Y,4
I,4B430D,EC 130,HB-ZKF,AZE,Y,Y,4
I,4B4310,Robinson R44,HB-ZKI,HZU,Y,Y,4
I,4B4311,Robinson R44,HB-ZKJ,VAL,Y,Y,4
I,4B4316,A 119,HB-ZKO,HLA,Y,Y,4
I,4B4317,AS 350,HB-ZKP,SWH,Y,Y,4
I,4B4318,EC 120,HB-ZKQ,HZU,Y,Y,4
I,4B431B,AS 350,HB-ZMC,SWH,Y,Y,4
I,4B4322,EC 120,HB-ZLA,SWH,Y,Y,4
I,4B4323,HU 269,HB-ZLB,HLA,Y,Y,4
I,4B4325,Robinson R44,HB-ZLD,,Y,Y,4
I,4B4326,Robinson R44,HB-ZLE,,Y,Y,4
I,4B4328,AS 350,HB-ZLG,SWH,Y,Y,4
I,4B432B,Cabri G2,HB-ZLJ,SWH,Y,Y,4
I,4B4332,Robinson R44,HB-ZTX,ACM,Y,Y,4
I,4B4333,EC 120,HB-ZLR,SWH,Y,Y,4
