device_type,device_id,aircraft_model,registration,cn,tracked,identified,aircraft_type
O,00527C,Motorglider,86_20,,Y,Y,1
F,005381,LS-3,D-6933,BY,Y,Y,1
F,005517,FK9 Mark 2,D-MRFK,,Y,Y,3
I,005523,DV20 Katana,ZS-SNM,SNM,Y,Y,2
F,005533,FK14,D-MKAO,,Y,Y,3
F,005610,MDM-1 Fox,OE-5610,FOX,Y,Y,1
O,00582E,Towplane,LKVP-T1,TP1,Y,Y,2
O,006179,Cessna 152,HA-BAT,BAT,Y,Y,2
F,006203,,,,N,N,1
F,006224,ASW-27,G-CJOV,PS,Y,Y,1
F,006269,DHC-1 Chipmunk,G-BVZZ,,Y,Y,2
F,006471,Libelle Std,G-DCRS,CRS,Y,Y,1
F,006514,SZD-51 Junior,G-CKPN,KPN,Y,Y,1
F,006569,Discus 2,D-6322,HUN,Y,Y,1
O,006704,,,,N,N,2
I,006789,DV20 Katana,ZS-DMN,DMN,Y,Y,2
O,006E06,Balloon,HA-9010,261,Y,Y,6
O,007A9A,,,,Y,N,1
F,0081E2,JS-1 B Revelation,ZS-GCE,B5,Y,Y,1
F,0087BB,Ventus 2cM,ZS-CXM,MB,Y,Y,1
I,0089F0,PA-28,ZS-PXN,PXN,Y,Y,2
F,00901A,JS-1 C21,ZS-GBX,BJ,Y,Y,1
F,009181,Nimbus 4DT,D-KTMT,ZY,Y,Y,1
F,0091C7,JS-1 C21,ZS-GSK,VV,Y,Y,1
F,0091F1,Ventus 2ct,D-KAZP,PJ,Y,Y,1
I,0091FA,DG-500,ZS-GUJ,,Y,Y,1
I,009282,DG-400,ZS-GZP,,Y,Y,1
O,009445,VSO-10,OK-1516,B1,Y,Y,1
I,0095DF,DG-808 B,ZT-GAE,YH,Y,Y,1
I,009841,Drone/UAV,SUI9841,,Y,Y,5
I,009844,Drone/UAV,Matter,MNT,Y,Y,5
I,009845,Drone/UAV,Matter,MNT,Y,Y,5
F,00A98C,Discus,D-KAMR,MR,Y,Y,1
I,00B2E7,DV20 Katana,ZS-TGO,TGO,Y,Y,2
O,00BE02,Ventus,OK5512,ZV,Y,Y,1
F,00C6F6,DG-808 B,D-KCBS,,Y,Y,1
F,00C94D,Apis 2,F-JDYM,FM,Y,Y,1
F,00DABC,JS-1 Revelation,ZS-GEG,GT,Y,Y,1
O,00DE0A,LAK-12,LY-GFN,GV,Y,Y,1
F,00DEFF,ASK-21,D-7070,,Y,Y,1
F,00F282,Pegase,F-CGED,ED,Y,Y,1
F,00F8D7,ASW-15,OM-1615,TZ,Y,Y,1
F,00FFFF,ASK-21,S5-7503,21,Y,Y,1
F,01013F,Ground Station,AIRFN,AFN,Y,Y,6
F,010140,Ground Station,LP_KULM,KLP,Y,Y,6
F,010144,Ground Station,SP_KULM,SPK,Y,Y,6
F,011288,Paraglider,TomDon,DON,Y,Y,6
O,011292,Paraglider,,,Y,Y,6
O,011821,VT-116 Orlik II,OK6430,T,Y,Y,1
O,011822,LS-8 18,CUBE3_0,IB0,Y,Y,1
O,0126FD,L 13 SEH Vivat,6103,,Y,Y,1
O,013020,ASW-19,OK-4028,RCE,Y,Y,1
O,013032,ASW-19,GGP4,GG4,Y,Y,1
O,014312,Skylane Airlony,OKAUO45,O45,Y,Y,3
O,014D71,Drone/UAV,METEO1,,Y,Y,5
O,01542C,Balloon,D-OVDS,DS,Y,Y,6
O,016027,PA-28,HA-BEC,HEC,Y,Y,2
O,01630C,Cessna 172,HA-SLK,SLK,Y,Y,2
O,01663C,Different Aircraft,FFVP003,F03,Y,Y,1
O,016E1D,Gyrocopter,OM-M874,235,Y,Y,3
